Set,Run,Generations,Execution Time (s),Population Size,Success,Crossover,Fitness Function
1,1,41,0.000372,10,0,2X,Counting Ones
1,2,30,0.000288,10,0,2X,Counting Ones
1,3,42,0.000376,10,0,2X,Counting Ones
1,4,33,0.000302,10,0,2X,Counting Ones
1,5,39,0.000347,10,0,2X,Counting Ones
1,6,41,0.000416,10,0,2X,Counting Ones
1,7,36,0.000387,10,0,2X,Counting Ones
1,8,38,0.000407,10,0,2X,Counting Ones
1,9,33,0.000293,10,0,2X,Counting Ones
1,10,42,0.000375,10,0,2X,Counting Ones
2,1,46,0.001075,20,0,2X,Counting Ones
2,2,44,0.000920,20,0,2X,Counting Ones
2,3,43,0.001206,20,0,2X,Counting Ones
2,4,50,0.001060,20,0,2X,Counting Ones
2,5,44,0.000869,20,0,2X,Counting Ones
2,6,50,0.000921,20,0,2X,Counting Ones
2,7,40,0.000787,20,0,2X,Counting Ones
2,8,44,0.000813,20,0,2X,Counting Ones
2,9,40,0.000783,20,0,2X,Counting Ones
2,10,44,0.000822,20,0,2X,Counting Ones
3,1,43,0.001955,40,0,2X,Counting Ones
3,2,43,0.002077,40,0,2X,Counting Ones
3,3,43,0.002042,40,0,2X,Counting Ones
3,4,39,0.001464,40,0,2X,Counting Ones
3,5,41,0.001569,40,0,2X,Counting Ones
3,6,42,0.001581,40,0,2X,Counting Ones
3,7,16,0.000581,40,1,2X,Counting Ones
3,8,41,0.001586,40,0,2X,Counting Ones
3,9,40,0.001588,40,0,2X,Counting Ones
3,10,48,0.001536,40,0,2X,Counting Ones
4,1,38,0.002780,80,0,2X,Counting Ones
4,2,45,0.003799,80,0,2X,Counting Ones
4,3,40,0.003075,80,0,2X,Counting Ones
4,4,42,0.003426,80,0,2X,Counting Ones
4,5,43,0.002904,80,0,2X,Counting Ones
4,6,43,0.002662,80,0,2X,Counting Ones
4,7,42,0.001572,80,0,2X,Counting Ones
4,8,40,0.001063,80,0,2X,Counting Ones
4,9,41,0.001067,80,0,2X,Counting Ones
4,10,43,0.002412,80,0,2X,Counting Ones
5,1,43,0.006963,160,0,2X,Counting Ones
5,2,42,0.006730,160,0,2X,Counting Ones
5,3,18,0.002262,160,1,2X,Counting Ones
5,4,42,0.003672,160,0,2X,Counting Ones
5,5,42,0.002152,160,0,2X,Counting Ones
5,6,17,0.000858,160,1,2X,Counting Ones
5,7,43,0.003910,160,0,2X,Counting Ones
5,8,40,0.003575,160,0,2X,Counting Ones
5,9,16,0.001580,160,1,2X,Counting Ones
5,10,43,0.003367,160,0,2X,Counting Ones
6,1,14,0.005214,320,1,2X,Counting Ones
6,2,42,0.011968,320,0,2X,Counting Ones
6,3,47,0.006437,320,0,2X,Counting Ones
6,4,41,0.006886,320,0,2X,Counting Ones
6,5,42,0.005845,320,0,2X,Counting Ones
6,6,42,0.004368,320,0,2X,Counting Ones
6,7,43,0.004458,320,0,2X,Counting Ones
6,8,43,0.004780,320,0,2X,Counting Ones
6,9,40,0.004176,320,0,2X,Counting Ones
6,10,43,0.004479,320,0,2X,Counting Ones
7,1,42,0.023671,640,0,2X,Counting Ones
7,2,41,0.011700,640,0,2X,Counting Ones
7,3,44,0.012682,640,0,2X,Counting Ones
7,4,43,0.011894,640,0,2X,Counting Ones
7,5,41,0.010481,640,0,2X,Counting Ones
7,6,19,0.004439,640,1,2X,Counting Ones
7,7,41,0.009646,640,0,2X,Counting Ones
7,8,16,0.003496,640,1,2X,Counting Ones
7,9,43,0.008863,640,0,2X,Counting Ones
7,10,41,0.008494,640,0,2X,Counting Ones
8,1,41,0.022685,640,0,2X,Counting Ones
8,2,15,0.005254,640,1,2X,Counting Ones
8,3,16,0.005917,640,1,2X,Counting Ones
8,4,41,0.014341,640,0,2X,Counting Ones
8,5,43,0.012856,640,0,2X,Counting Ones
8,6,16,0.004021,640,1,2X,Counting Ones
8,7,16,0.003784,640,1,2X,Counting Ones
8,8,42,0.009809,640,0,2X,Counting Ones
8,9,42,0.008984,640,0,2X,Counting Ones
8,10,15,0.003021,640,1,2X,Counting Ones
9,1,15,0.017278,1280,1,2X,Counting Ones
9,2,17,0.014744,1280,1,2X,Counting Ones
9,3,42,0.017378,1280,0,2X,Counting Ones
9,4,43,0.017729,1280,0,2X,Counting Ones
9,5,14,0.006192,1280,1,2X,Counting Ones
9,6,20,0.008864,1280,1,2X,Counting Ones
9,7,16,0.006505,1280,1,2X,Counting Ones
9,8,17,0.006948,1280,1,2X,Counting Ones
9,9,16,0.006691,1280,1,2X,Counting Ones
